record_id,msisdn,imei,imsi,session_start,session_end,private_ip,public_ip,nat_port_start,bytes_up,bytes_down,dest_ip,dest_port,protocol,dest_domain,app_hint,row_sha256,batch_id,source_filename
IPDR00011,+916980841241,824493534874017,404864005242786,2026-08-10T22:29:00,2026-08-10T23:21:01,10.30.17.215,100.91.29.149,56513,32000000,54900000,104.244.42.129,443,TCP,api.twitter.com,email,376d9914c229fb68c68979a5cf4d5f39663197b83d282e92d156e416759d1119,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00012,+916980841241,824493534874017,404864005242786,2026-08-10T09:52:00,2026-08-10T10:46:10,192.168.77.3,100.91.29.149,15358,1200000,45600000,142.250.192.14,443,TCP,www.google.com,video,d0b671998dac30a0040127ee46f1a0ad365a771d7001aa61332594b5d434cdc1,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00013,+917053315869,322602563421605,404863375433036,2026-08-10T21:23:00,2026-08-10T22:07:10,10.3.210.4,100.97.19.28,2120,25900000,280500000,149.154.175.53,5222,TCP,mtproto.telegram.org,messaging,84bff9779c594c451b3ca3004882d9b00bd3e6626b48b142f654d511ee69af12,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00014,+917053315869,322602563421605,404863375433036,2026-08-10T23:46:00,2026-08-11T00:24:34,10.49.76.62,100.97.19.28,13602,39100000,10100000,149.154.167.51,443,TCP,api.telegram.org,messaging,572169f1eeb9b6b1593327b182b0658012a1b85b66f6cef5b82df99f3e4c4235,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00015,+917053315869,322602563421605,404863375433036,2026-08-10T23:16:00,2026-08-10T23:36:14,192.168.124.254,100.97.19.28,46718,32000000,28300000,149.154.175.53,5222,TCP,mtproto.telegram.org,messaging,e110d0c0fbe1017ba1a28c28ed1211f405a10c0f5f59d73fea375164d9c1ac7f,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00016,+916569816934,608835615951489,404496564823662,2026-08-10T16:43:00,2026-08-10T17:29:37,172.28.193.142,100.91.29.149,32219,39700000,196700000,142.250.192.14,443,TCP,www.google.com,browsing,853c4a69e61f6dce4aae0763d8034ad8ca7836468fff1f5fc460ba63d2022486,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00017,+918738721489,134332003791762,404203676320163,2026-08-10T07:44:00,2026-08-10T07:51:38,192.168.21.59,100.120.218.213,14879,20500000,133000000,142.250.192.14,443,TCP,www.google.com,social,49449cd08adda7db4aa673c0b1dc008f8a350a320f42b93dc07b482ad54ce73c,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00018,+918277434873,714345581223625,404451665876036,2026-08-10T22:17:00,2026-08-10T23:22:05,10.161.8.247,100.91.29.149,14600,3900000,278000000,142.250.192.14,443,TCP,www.google.com,email,477e18d0a988c1392e9746dece1853ff4a9bc05209f2d42ec37056fa983b28dc,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00019,+918277434873,714345581223625,404451665876036,2026-08-10T11:48:00,2026-08-10T12:53:24,192.168.169.99,100.91.29.149,50543,4000000,52900000,104.244.42.129,443,TCP,api.twitter.com,video,398cfc6041cd271a83b946ea753447bec31ff7fc4192e5578565294cb4ffb72b,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00020,+918277434873,714345581223625,404451665876036,2026-08-10T11:50:00,2026-08-10T12:26:11,10.38.174.155,100.91.29.149,51421,30100000,107000000,104.244.42.129,443,TCP,api.twitter.com,browsing,3896674c8717e3a8f8051e54b84f89c307924f34fd9be43ad84b764e2703bc8c,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00021,+917734670656,729806990162729,404104653755646,2026-08-10T19:49:00,2026-08-10T19:53:01,10.182.192.111,100.66.78.62,13196,25700000,236100000,149.154.175.53,5222,TCP,mtproto.telegram.org,messaging,29ed59ad118830a35f5de70e21bd0e687e178f9a79b74e6d10939f53cd220986,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00022,+917734670656,729806990162729,404104653755646,2026-08-10T19:05:00,2026-08-10T20:01:28,172.20.199.82,100.66.78.62,24662,10600000,26700000,142.250.192.14,443,TCP,www.google.com,social,92dd84118abb6ceeb209b92cba1247dc338c09c5db33523e42063f48976bc69a,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00023,+917734670656,729806990162729,404104653755646,2026-08-10T10:05:00,2026-08-10T11:11:22,10.44.95.111,100.66.78.62,30439,13000000,111200000,142.250.192.14,443,TCP,www.google.com,social,d6486bbfcfbfe637416329cdadc9db3ddb4a44654739acdff9c9e07b5db19c22,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00024,+916271937452,193149190586514,404208776945314,2026-08-10T23:26:00,2026-08-10T23:29:47,172.16.149.106,103.123.208.126,26438,4500000,168500000,104.244.42.129,443,TCP,api.twitter.com,email,835cc94b5a1bc520cf5d31308c7ac965a3ae533a2e1e8e9e780b23d1f6d40110,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00025,+916271937452,193149190586514,404208776945314,2026-08-10T09:46:00,2026-08-10T10:27:02,172.25.137.127,103.123.208.126,10587,21300000,207200000,142.250.192.14,443,TCP,www.google.com,video,6796f028afc34ea4cb3cd351f22bf5173b4ad88f052f1da218a01f3a9c401634,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00026,+916271937452,193149190586514,404208776945314,2026-08-10T09:10:00,2026-08-10T09:30:50,172.23.253.153,103.123.208.126,41438,17400000,147800000,104.244.42.129,443,TCP,api.twitter.com,browsing,466fecca3385ac8466b4201e358a050b4ea1ce92b41f2494e740aa32d2a277e9,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00027,+918701436349,788568557444310,404455182337498,2026-08-10T21:06:00,2026-08-10T21:28:47,172.30.171.111,49.149.64.164,54467,1300000,121700000,104.244.42.129,443,TCP,api.twitter.com,email,7dbf80389a3c444f62bc168bff3473f5ba2071f9d192cf461b8fcaf4e3749527,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00028,+918094777520,711671902294137,404108699938677,2026-08-10T11:19:00,2026-08-10T12:02:10,172.26.149.189,106.122.88.142,46568,37900000,64300000,142.250.192.14,443,TCP,www.google.com,social,1f923813f802cdd324d0d25a03acfaa7980e75922ea01b38a93e3c998c4ffcad,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00029,+918094777520,711671902294137,404108699938677,2026-08-10T22:36:00,2026-08-10T23:00:14,10.102.92.175,106.122.88.142,51330,15700000,245900000,149.154.175.53,5222,TCP,mtproto.telegram.org,messaging,4e0a197b7a478ec8d4ea17aec6dba58e272b4dcdefd0c99c62bfe16e6aedd2b9,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00030,+918094777520,711671902294137,404108699938677,2026-08-10T07:46:00,2026-08-10T08:52:22,172.31.71.163,106.122.88.142,20870,28600000,134300000,142.250.192.14,443,TCP,www.google.com,social,c77b8608c217db2b094103e2cd57da8dd983685da9e8e06fa7d59c2292e9dedf,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00031,+916936183242,067974034471340,404499401399049,2026-08-10T15:42:00,2026-08-10T16:32:49,192.168.205.137,192.168.236.106,34225,17500000,116200000,149.154.175.53,5222,TCP,mtproto.telegram.org,messaging,d6a3f22f9833dac566c334ab7481704daef9a7c06a04d2869c8c3e6501f61730,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00032,+917859770348,477109324808614,404451712748467,2026-08-10T20:34:00,2026-08-10T21:29:58,10.127.181.43,100.117.174.240,43425,38800000,212000000,142.250.192.14,443,TCP,www.google.com,email,e884e4ab5de7b0642ae5563c92ad43f2cfd4035e6e86125101e39fc999c04879,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00033,+917859770348,477109324808614,404451712748467,2026-08-10T08:36:00,2026-08-10T09:29:22,10.132.113.131,100.117.174.240,49969,13900000,239900000,142.250.192.14,443,TCP,www.google.com,browsing,d395e9f44722c56e8d07f64c92e2047448452e6c9041120a0957054b5a628ac4,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00034,+917859770348,477109324808614,404451712748467,2026-08-10T23:35:00,2026-08-11T00:07:25,172.16.247.27,100.117.174.240,20385,15600000,141600000,142.250.192.14,443,TCP,www.google.com,email,ed00d5bcf72b749f7055f34f20d52767f94908f2b412a13aa4af2e63b04eb03e,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00035,+919044997278,558867533963601,404497662702895,2026-08-10T09:07:00,2026-08-10T09:32:46,172.31.49.113,100.91.29.149,48340,13200000,139300000,104.244.42.129,443,TCP,api.twitter.com,video,b5d3a1c065a91d6106fa0a3eefb8461d6580de569c24b2f09a76f29dba365d33,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00036,+919044997278,558867533963601,404497662702895,2026-08-10T21:20:00,2026-08-10T21:42:29,192.168.55.174,100.91.29.149,53456,2700000,214700000,104.244.42.129,443,TCP,api.twitter.com,browsing,60ca587989ce8abb89e0fc58fa1642077a1098992e6a85efcc228dedced148fe,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00037,+916611724005,158657809134318,404452858842474,2026-08-10T14:33:00,2026-08-10T15:12:40,172.21.95.164,100.91.29.149,44101,7200000,170200000,149.154.167.51,443,TCP,api.telegram.org,messaging,c34e0ebc23dc425c6e0d53c6e495d008fc779c798e0bb3e89d754c821d778eff,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00038,+917529042284,102053950240266,404201177589178,2026-08-10T19:01:00,2026-08-10T19:33:41,172.18.52.205,100.120.37.231,58170,24100000,119700000,142.250.192.14,443,TCP,www.google.com,video,ad27a7bc0082dcdc896b52d5bd345c6d9926ae8ad7634fb36461902e59fb02c6,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00039,+917529042284,102053950240266,404201177589178,2026-08-10T12:23:00,2026-08-10T12:38:27,192.168.198.157,100.120.37.231,26749,18800000,82400000,149.154.175.53,5222,TCP,mtproto.telegram.org,messaging,b78906f24561c0e15256958dda59632a0fb8b377ee04f993fa44fe2849f1f2c9,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00040,+918159212499,698478961183676,404456576615654,2026-08-10T10:22:00,2026-08-10T11:21:43,192.168.68.81,49.168.62.106,8748,18900000,55900000,142.250.192.14,443,TCP,www.google.com,social,57c5a3138fe67ed340cc221c00d74e10d0554d22e91daca5ed49a5987d71d7b7,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00041,+918159212499,698478961183676,404456576615654,2026-08-10T14:19:00,2026-08-10T14:33:29,192.168.70.148,49.168.62.106,26170,15600000,46700000,149.154.175.53,5222,TCP,mtproto.telegram.org,messaging,b7270108ed44391d5b62c9edd4c90963782ce7c2db9e070f9d08f7e6fdb9fc29,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00042,+918159212499,698478961183676,404456576615654,2026-08-10T20:11:00,2026-08-10T20:56:23,172.25.71.48,49.168.62.106,21640,22000000,276200000,142.250.192.14,443,TCP,www.google.com,video,b3196e13f1f8b33c228f8e643f451a1d5b9007ffefd93797a1665140eb32d173,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00043,+917049451983,731585149368996,404200940244550,2026-08-10T08:55:00,2026-08-10T08:57:39,172.31.212.182,106.73.205.18,56067,19900000,62600000,149.154.175.53,5222,TCP,mtproto.telegram.org,messaging,2f7630f69a302592e17febf166b193a6cd7a0944cf4fab9e7c403f8f1b6ca480,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00044,+917049451983,731585149368996,404200940244550,2026-08-10T21:31:00,2026-08-10T21:38:38,10.140.115.138,106.73.205.18,19942,23100000,239800000,104.244.42.129,443,TCP,api.twitter.com,video,20cf8a412b20201d412f2800a92f3251c2b95721664816d7b28ea640abc23791,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00045,+919104332181,001338908386376,404204026542351,2026-08-11T08:11:00,2026-08-11T09:15:52,172.20.169.191,122.185.98.181,6123,32500000,185400000,142.250.192.14,443,TCP,www.google.com,email,3e0fb685f921c12e75a4689651d0ddc53886dc99af80ace373139550505eb2b5,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00046,+919104332181,001338908386376,404204026542351,2026-08-11T14:22:00,2026-08-11T14:35:27,10.135.107.64,122.185.98.181,46451,25800000,289100000,104.244.42.129,443,TCP,api.twitter.com,social,c260895341d56ed806b9bd1e6e5dd28bb82e559310bee83bc32fbeed51004d6b,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00047,+917341316475,553419283276486,404455030564139,2026-08-11T18:16:00,2026-08-11T19:07:10,172.31.193.90,182.204.185.57,36808,1000000,118900000,149.154.167.51,443,TCP,api.telegram.org,messaging,ff983bd945a652923162133ec6cbc87042349d77ae57ab4fcc1c0722bfdcb60f,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00048,+916784801845,287101226916693,404203010310518,2026-08-11T10:53:00,2026-08-11T11:48:50,172.18.17.76,49.160.29.13,2339,34700000,197000000,142.250.192.14,443,TCP,www.google.com,video,84163b4a3f8e4184b12760dd755e5a18cd9c9e77ad7852835d1f551fcb5d9b13,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00049,+916784801845,287101226916693,404203010310518,2026-08-11T17:16:00,2026-08-11T17:23:03,192.168.47.87,100.91.29.149,39954,14300000,266899999,142.250.192.14,443,TCP,www.google.com,video,a11543fc428c6aa7b411f0d0e2026c1e60243b2b33bb28ca49077940ba6cdee7,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00050,+916081219136,939909169985432,404493462475107,2026-08-11T22:45:00,2026-08-11T23:16:26,10.51.169.53,100.84.224.214,13474,37800000,53700000,149.154.167.51,443,TCP,api.telegram.org,messaging,4625767313e3c3a6395218b85098a353625430b425688583a67643c8bdfe9f3c,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00051,+916081219136,939909169985432,404493462475107,2026-08-11T20:44:00,2026-08-11T21:31:05,192.168.251.40,100.84.224.214,4596,12000000,75100000,104.244.42.129,443,TCP,api.twitter.com,browsing,2fa3a12cb09701390b69c7cf44790a2bbb8e81f22211a39ac0a029607040d34e,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00052,+916081219136,939909169985432,404493462475107,2026-08-11T18:00:00,2026-08-11T18:07:58,10.49.13.53,100.84.224.214,12219,12500000,200300000,104.244.42.129,443,TCP,api.twitter.com,email,fe1473cb71ebe6bee536724fc3e117258a7d2310d3fc04398cdc81b49ba12131,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00053,+916980841241,824493534874017,404864005242786,2026-08-11T16:05:00,2026-08-11T17:04:36,192.168.135.24,100.91.29.149,43089,5500000,236500000,149.154.175.53,5222,TCP,mtproto.telegram.org,messaging,3a54e079da4f731522b66ed2efa7dbe38652cd8da0fe92835b374e8d1b07b9a6,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00054,+916980841241,824493534874017,404864005242786,2026-08-11T19:11:00,2026-08-11T20:13:26,172.30.134.58,100.91.29.149,55882,15900000,60000000,104.244.42.129,443,TCP,api.twitter.com,browsing,4b2359ce7066fb3b99caff12e5fe07894e96ea05d8ee6c0ee34761c625ef4464,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00055,+916980841241,824493534874017,404864005242786,2026-08-11T15:36:00,2026-08-11T15:48:19,192.168.211.249,100.91.29.149,50599,30300000,201900000,104.244.42.129,443,TCP,api.twitter.com,browsing,dc3f82e6cf99a47860d1f619e9501e4ba636227e53afd2599ff818cb1a34ec83,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00056,+917053315869,322602563421605,404863375433036,2026-08-11T14:35:00,2026-08-11T15:34:23,192.168.120.122,100.97.19.28,20609,16100000,159200000,104.244.42.129,443,TCP,api.twitter.com,email,3b1242ec6d96e05db61379ca8a0ac96a0420ed75623dda2a23754e577507ef08,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00057,+917053315869,322602563421605,404863375433036,2026-08-11T09:25:00,2026-08-11T10:01:16,10.229.88.243,100.97.19.28,11979,23300000,157500000,142.250.192.14,443,TCP,www.google.com,email,841f0ca33058ec062003fc6557212b9f674db48accd2afe311cb006406f909f0,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00058,+917053315869,322602563421605,404863375433036,2026-08-11T13:51:00,2026-08-11T14:01:36,192.168.75.214,100.97.19.28,40021,2700000,28100000,149.154.167.51,443,TCP,api.telegram.org,messaging,506cbdbb47fd1cca625e3f49668ff9c25e16b6a6a41ab32e60a69c0b673bcb82,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00059,+916569816934,608835615951489,404496564823662,2026-08-11T17:58:00,2026-08-11T18:05:56,192.168.234.235,100.91.29.149,58267,16100000,122200000,104.244.42.129,443,TCP,api.twitter.com,social,6acc6591791a6d5c7ebfb185f594a28b78496f18b0af17c31c9c510392fcaf88,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00060,+916569816934,608835615951489,404496564823662,2026-08-11T07:50:00,2026-08-11T07:59:40,10.51.146.223,100.91.29.149,36127,17200000,48700000,142.250.192.14,443,TCP,www.google.com,email,42a5eb31be9103c41150b06cc7e3a645a4753d6c88fdb9fbeb0ad5cda550df38,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00061,+918738721489,134332003791762,404203676320163,2026-08-11T20:16:00,2026-08-11T21:02:42,172.28.73.159,100.120.218.213,40912,19900000,184600000,142.250.192.14,443,TCP,www.google.com,browsing,8e972890e06eae4aab1c6fda3d93d8cbd5052ee73f3959f2478aeacdac90000c,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00062,+918738721489,134332003791762,404203676320163,2026-08-11T19:02:00,2026-08-11T20:04:43,172.27.10.87,100.120.218.213,54592,35300000,208700000,104.244.42.129,443,TCP,api.twitter.com,browsing,fcc873ee010935e877834bdf0580c135d51aac8fcb7377d02c66b6b57998cb18,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00063,+918277434873,714345581223625,404451665876036,2026-08-11T16:17:00,2026-08-11T17:17:35,172.30.164.69,100.91.29.149,48786,28200000,34000000,142.250.192.14,443,TCP,www.google.com,video,0532ee9e6d470e2c86738c893f68b9f25bdf4bf0673b7dd998ccff4f14c84492,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00064,+918277434873,714345581223625,404451665876036,2026-08-11T20:38:00,2026-08-11T20:52:49,192.168.191.211,100.91.29.149,4707,18200000,274500000,149.154.175.53,5222,TCP,mtproto.telegram.org,messaging,093ffe217ae7584d9af20dd4dbdde4d1665da193fce5a17146e317b7f91952ca,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00065,+917734670656,729806990162729,404104653755646,2026-08-11T12:04:00,2026-08-11T12:54:26,10.98.102.215,100.66.78.62,4800,20800000,45000000,142.250.192.14,443,TCP,www.google.com,email,dc168e76bb2bd1e590930aeebe498e529c4fcb305a182184f4936e5f82bae206,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00066,+917734670656,729806990162729,404104653755646,2026-08-11T14:02:00,2026-08-11T14:07:27,172.28.63.175,100.66.78.62,3026,36800000,212900000,104.244.42.129,443,TCP,api.twitter.com,social,ec47e5fa6c656e4ab71d989300a8af470b3fcd1c57eea1476d7ee4b2ed752d50,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00067,+917734670656,729806990162729,404104653755646,2026-08-11T14:23:00,2026-08-11T15:05:33,172.21.132.192,100.66.78.62,55475,18400000,288400000,149.154.175.53,5222,TCP,mtproto.telegram.org,messaging,ed3f6a610971021112912c3195b2515b4c3b038ce58103fba1ef45ce49e1cee7,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00068,+916271937452,193149190586514,404208776945314,2026-08-11T09:18:00,2026-08-11T09:46:23,192.168.115.174,103.123.208.126,14572,2900000,256899999,142.250.192.14,443,TCP,www.google.com,video,672d0028f3209391c59d0204a8c3cc492e4034de2d4d657756c31d1e8087cff5,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00069,+916271937452,193149190586514,404208776945314,2026-08-11T15:41:00,2026-08-11T16:18:02,10.88.4.58,103.123.208.126,17564,1800000,235200000,104.244.42.129,443,TCP,api.twitter.com,browsing,b8829f73c648d95dfca80cd3e9557f61a0692dc5a734e978abdc8322116a3cca,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00070,+916271937452,193149190586514,404208776945314,2026-08-11T16:45:00,2026-08-11T17:15:55,10.238.154.174,103.123.208.126,35144,35900000,256200000,149.154.175.53,5222,TCP,mtproto.telegram.org,messaging,0dd5bdab3815180d6636f54eb6f9543acb747d3526cecd05e9c9e7802e980415,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00071,+918701436349,788568557444310,404455182337498,2026-08-11T19:37:00,2026-08-11T19:39:30,172.19.246.17,49.149.64.164,23062,20900000,200400000,104.244.42.129,443,TCP,api.twitter.com,social,e4edb5cf9046dda1ad544f1e45f4a913bd62caeac089fde90a3b4be6cdca58f6,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00072,+918701436349,788568557444310,404455182337498,2026-08-11T15:40:00,2026-08-11T16:40:48,10.123.29.207,49.149.64.164,57209,11800000,198600000,142.250.192.14,443,TCP,www.google.com,social,0da7cdb105671b9f55af4048993084b9cd9d0d2cdb0fb8eb4664193bc07d3a4b,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00073,+918701436349,788568557444310,404455182337498,2026-08-11T19:42:00,2026-08-11T20:30:28,172.29.207.100,49.149.64.164,49306,6500000,12500000,149.154.175.53,5222,TCP,mtproto.telegram.org,messaging,c0a405e74a315219dd14f8821db5da8a6529ff2b01d6106f907c7423b9e36ed2,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00074,+918094777520,711671902294137,404108699938677,2026-08-11T13:21:00,2026-08-11T14:09:51,10.92.150.25,106.122.88.142,31877,21900000,236500000,104.244.42.129,443,TCP,api.twitter.com,social,45ca332cd99e34da0d24e66ccdaeb125a10208e3b56a9bbf70a7aaa5c366abc2,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00075,+916936183242,067974034471340,404499401399049,2026-08-11T15:46:00,2026-08-11T16:52:38,172.23.157.108,192.168.236.106,52672,27500000,104000000,142.250.192.14,443,TCP,www.google.com,browsing,c1c6cd185498c9021d4cecfdb24fc2df033aa8d665519775420a426057c9ff4d,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00076,+917859770348,477109324808614,404451712748467,2026-08-11T18:16:00,2026-08-11T18:49:39,172.22.61.223,100.117.174.240,45634,34200000,143800000,142.250.192.14,443,TCP,www.google.com,email,772e207849a8c36934163e52b390f00c55dcc493aa464296c18c9c2742750514,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00077,+917859770348,477109324808614,404451712748467,2026-08-11T19:33:00,2026-08-11T20:03:12,172.29.234.37,100.117.174.240,21758,3100000,257000000,142.250.192.14,443,TCP,www.google.com,video,41a290d85a3c718ed1d744daa6ea33a1108a50189009d59dc8235a3db6e71839,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00078,+919044997278,558867533963601,404497662702895,2026-08-11T12:49:00,2026-08-11T13:24:17,10.231.140.54,100.91.29.149,50909,14000000,296100000,142.250.192.14,443,TCP,www.google.com,social,e6cafe27c46ed7eb815e17923cf465bb5f66b18e3bd51b0d70391d0eb463b1fb,951295eb92521845564dfa6eb48f60cd,ipdr.csv
IPDR00079,+919044997278,558867533963601,404497662702895,2026-08-11T12:36:00,2026-08-11T13:11:25,192.168.219.104,100.91.29.149,29140,31600000,235000000,104.244.42.129,443,TCP,api.twitter.com,video,bcfefd7d315a26dd28318c30cc6ad5e4f0f4d55850a60b4ce3b1ba7e844cf3d8,951295eb92521845564dfa6eb48f60cd,ipdr.csv
